id	ex		ey		x		y		prob
1	0.180	0.169	58.490	16.530	0.786
2	0.253	-0.048	34.380	-3.180	0.964
3	0.135	0.036	13.220	-1.000	1.000
4	-0.004	-0.018	38.260	15.710	0.995
4	0.130	0.032	51.170	15.890	0.956
6	0.171	-0.254	48.220	2.720	0.655
6	-0.100	0.161	31.730	2.610	0.999
6	-0.145	0.289	19.720	12.540	0.997
6	-0.252	0.241	38.440	12.660	0.937
7	0.053	0.060	25.010	0.690	0.999
7	-0.183	0.060	47.550	7.430	0.984
7	0.065	-0.156	60.520	4.710	0.450
8	0.056	-0.005	3.680	2.700	0.998
8	0.045	0.058	7.860	1.170	1.000
8	0.131	-0.058	6.150	-3.810	0.997
8	0.039	0.000	14.440	-1.070	1.000
8	0.136	0.114	33.200	-7.240	0.990
8	0.017	0.004	19.960	-8.480	0.963
9	0.149	0.100	23.880	-0.700	0.996
9	0.216	0.030	66.370	-0.240	0.655
10	0.040	0.034	5.200	-4.430	1.000
10	0.094	0.002	11.800	2.390	0.999
10	0.025	0.026	16.500	-5.850	1.000
10	-0.031	0.060	22.050	-6.870	0.994
10	0.154	0.009	23.640	0.380	1.000
10	-0.032	0.005	29.070	-0.640	0.998
10	-0.044	0.001	28.530	-7.880	0.986
10	0.086	-0.021	42.850	-4.500	0.992
11	0.026	0.044	26.640	4.950	0.995
11	0.042	0.055	4.130	5.120	1.000
12	0.083	-0.136	58.840	-5.350	0.858
13	0.145	0.060	20.130	3.160	0.996
15	0.046	0.031	4.100	2.750	0.999
16	-0.168	0.116	44.410	-4.190	0.931
16	0.053	-0.118	33.130	-4.580	0.989
16	-0.130	0.112	6.050	3.670	1.000
16	-0.024	0.163	46.740	6.410	0.884
17	-0.025	0.103	47.160	-9.710	0.992
18	0.036	0.080	47.020	4.820	0.969
19	0.236	-0.051	9.720	-2.840	1.000
19	-0.073	-0.131	59.590	3.850	0.893
20	-0.102	0.040	15.580	-2.690	1.000
21	0.149	-0.016	13.300	3.030	0.999
21	0.113	-0.032	17.600	2.520	0.999
21	-0.066	0.040	25.970	-5.180	0.999
21	0.025	-0.077	26.830	1.620	0.998
21	-0.053	-0.124	32.130	-5.570	0.993
21	-0.074	0.029	31.780	1.140	0.958
22	0.189	0.060	31.720	19.080	0.996
22	-0.055	0.002	31.610	21.790	0.969
23	-0.016	-0.166	55.080	16.570	0.778
24	0.112	0.153	36.370	3.470	0.996
24	0.219	0.213	38.090	7.780	0.996
24	0.421	0.183	52.010	12.080	0.423
25	-0.029	-0.023	3.140	-2.430	0.994
25	0.147	0.056	10.420	2.210	1.000
25	0.098	0.136	30.180	0.780	0.987
25	0.218	-0.017	17.480	-3.640	0.985
25	0.310	0.106	22.300	-4.230	0.985
26	0.304	0.013	68.340	4.220	0.704
29	0.007	0.035	41.530	-3.460	0.992
30	-0.064	0.005	41.900	2.080	0.978
31	0.226	0.132	12.200	3.180	1.000
31	0.153	-0.012	8.460	-3.180	1.000
31	0.243	-0.001	13.140	-2.900	1.000
31	-0.016	0.058	26.410	-2.710	1.000
32	0.022	0.048	9.000	3.490	0.999
32	0.133	-0.020	8.600	-3.090	1.000
32	-0.066	0.054	13.470	-3.040	1.000
32	-0.085	0.037	19.850	-3.600	0.997
32	0.045	-0.092	25.250	-5.510	0.970
32	0.105	-0.031	44.750	5.970	0.990
33	0.206	0.150	64.470	1.640	0.497
33	0.156	-0.010	10.150	7.090	0.991
34	0.056	0.001	14.120	8.150	0.999
34	0.131	0.010	49.040	7.840	0.956
35	0.101	0.116	46.700	0.650	0.940
35	-0.280	0.082	16.310	2.880	1.000
35	-0.088	-0.081	27.710	12.690	0.998
36	0.297	0.040	10.130	-0.110	0.989
36	-0.204	0.029	46.010	15.540	0.942
36	0.328	0.116	44.690	18.460	0.796
36	0.076	0.141	50.400	12.250	0.944
36	0.115	0.033	26.680	-15.490	0.998
36	0.009	0.444	26.550	-22.520	0.987
36	0.137	-0.034	4.080	-4.520	0.999
37	-0.099	-0.011	19.430	0.450	0.999
37	-0.007	0.055	24.490	3.460	0.986
38	0.046	0.098	28.280	-0.120	0.999
38	-0.023	0.070	6.690	-4.380	1.000
38	0.153	0.018	10.400	-4.610	0.993
38	0.071	0.040	14.020	-4.630	0.998
38	-0.175	0.231	50.900	7.380	0.849
38	0.074	0.064	18.660	6.490	1.000
38	-0.004	0.050	24.750	-4.470	0.999
38	0.065	-0.023	31.460	-4.060	0.969
38	-0.003	0.002	52.040	11.260	0.994
38	-0.335	-0.212	58.610	11.210	0.581
38	-0.004	0.138	59.960	15.370	0.777
39	-0.030	0.002	7.170	2.700	1.000
39	-0.033	0.018	16.670	-2.610	1.000
39	0.085	0.040	33.820	2.600	0.999
39	0.057	0.157	29.480	-2.680	0.994
39	0.256	0.064	48.950	2.470	0.852
39	0.190	-0.073	49.290	-2.930	0.807
40	0.188	-0.018	35.370	5.580	0.983
41	0.030	0.286	41.750	7.840	0.976
42	0.184	-0.063	44.490	1.210	0.926
44	0.121	0.039	5.220	3.270	0.990
44	0.136	0.012	13.930	3.110	0.988
45	0.106	-0.022	15.210	8.950	1.000
45	0.101	0.037	21.960	8.660	1.000
45	0.049	-0.002	27.060	8.460	0.998
45	0.106	-0.052	31.880	8.270	0.986
45	-0.046	0.054	41.530	7.540	0.925
45	0.031	0.056	46.700	7.160	0.972
46	0.161	-0.007	26.760	0.320	0.996
46	0.004	0.188	35.330	-0.260	0.989
46	-0.012	0.034	7.640	-2.870	0.997
46	0.080	-0.010	15.650	-3.030	0.999
46	0.090	-0.022	32.300	-3.130	0.999
46	-0.015	-0.069	38.200	-2.850	0.996
47	-0.012	0.005	26.540	0.380	0.999
47	0.032	0.028	10.680	8.370	1.000
47	0.108	0.003	12.250	4.650	1.000
47	-0.061	-0.013	25.130	5.000	0.999
47	0.280	-0.071	47.700	4.640	0.930
47	0.064	-0.020	17.750	12.640	0.918
47	0.132	0.133	25.900	12.990	0.992
49	0.049	0.060	21.550	-0.450	1.000
